benchmark,average cycles
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/baseline/res_convolution.csv,2379
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/baseline/res_matmul_i8.csv,4017
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/baseline/res_matmul_i16.csv,4024
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/baseline/res_matmul_i32.csv,2104
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/xpulp/res_convolution.csv,1942
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/xpulp/res_matmul_i8.csv,1504
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/xpulp/res_matmul_i16.csv,2476
/scratch/bsc22f8/git/benchmark/hardcore/banshee-results/xpulp/res_matmul_i32.csv,3151
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/baseline/res_convolution.csv,4323
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/baseline/res_matmul_i8.csv,5018
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/baseline/res_matmul_i16.csv,5454
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/baseline/res_matmul_i32.csv,2934
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/xpulp/res_convolution.csv,4092
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/xpulp/res_matmul_i8.csv,1380
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/xpulp/res_matmul_i16.csv,2263
/scratch/bsc22f8/git/benchmark/hardcore/rtl-results/xpulp/res_matmul_i32.csv,2647
